iter	Logloss
0	0.6666943541
1	0.6460007392
2	0.6292925174
3	0.6157866061
4	0.6050918469
5	0.5951865072
6	0.5887414818
7	0.5828340764
8	0.5774192301
9	0.5732949504
10	0.5702914096
11	0.5681863766
12	0.5662350953
13	0.564534727
14	0.563066257
15	0.5613961027
16	0.5601369615
17	0.5591105443
18	0.5580865003
19	0.557596302
20	0.5571834537
21	0.5565872807
22	0.55637957
23	0.5561398405
24	0.5559274261
25	0.5555345872
26	0.5552444385
27	0.5551734133
28	0.5549731715
29	0.5548474344
30	0.5547718021
31	0.5545902887
32	0.5543700241
33	0.5542943143
34	0.5542000351
35	0.5539026345
36	0.5538879335
37	0.5537576875
38	0.5535459161
39	0.5534578126
40	0.5533161007
41	0.5533057197
42	0.5531142228
43	0.5530377665
44	0.5530068365
45	0.5529375652
46	0.5529108265
47	0.552889986
48	0.552885001
49	0.5528409041
50	0.5527736584
51	0.5527452994
52	0.5527203005
53	0.5526700831
54	0.5526180932
55	0.5526175513
56	0.5525728256
57	0.5525448086
58	0.5525281372
59	0.5525187272
60	0.552509991
61	0.5524822164
62	0.5524805477
63	0.5524800184
64	0.5524752188
65	0.5524628249
66	0.5524428099
67	0.5524431057
68	0.5524149115
69	0.5524143971
70	0.5523979412
71	0.5523687143
72	0.5523637441
73	0.5523499982
74	0.5523375683
75	0.5523224301
76	0.5523073112
77	0.5523031193
78	0.5522929611
79	0.5522843833
80	0.5522759502
81	0.5522716873
82	0.5522661413
83	0.552263043
84	0.5522572398
85	0.5522570915
86	0.5522527147
87	0.5522496645
88	0.5522465211
89	0.5522450243
90	0.5522430814
91	0.5522406835
92	0.5522394852
93	0.5522384983
94	0.5522383729
95	0.5522365091
96	0.5522363991
97	0.5522353789
98	0.5522345284
99	0.5522338349
100	0.5522337267
101	0.5522333808
102	0.5522322444
103	0.5522313627
104	0.5522307352
105	0.5522301665
106	0.55223066
107	0.552229716
108	0.552229697
109	0.5522305768
110	0.5522282986
111	0.5522292926
112	0.552229161
113	0.5522284123
114	0.5522284742
115	0.5522283685
116	0.5522279487
117	0.5522279639
118	0.5522279478
119	0.5522281796
120	0.55222683
121	0.5522272087
122	0.5522266244
123	0.552226683
124	0.5522268004
125	0.5522269178
126	0.5522269178
127	0.5522269178
128	0.552226755
129	0.552226755
130	0.552226755
131	0.552226755
132	0.552226755
133	0.552226755
134	0.552226755
135	0.552226755
136	0.552226755
137	0.552226755
138	0.552226755
139	0.552226755
140	0.552226755
141	0.552226755
142	0.552226755
143	0.552226755
144	0.552226755
145	0.552226755
146	0.552226755
147	0.552226755
148	0.552226755
149	0.552226755
150	0.552226755
151	0.552226755
152	0.552226755
153	0.552226755
154	0.552226755
155	0.552226755
156	0.552226755
157	0.552226755
158	0.552226755
159	0.552226755
160	0.552226755
161	0.552226755
162	0.552226755
163	0.552226755
164	0.552226755
165	0.552226755
166	0.552226755
167	0.552226755
168	0.552226755
169	0.552226755
170	0.552226755
171	0.552226755
172	0.552226755
173	0.552226755
174	0.552226755
175	0.552226755
176	0.552226755
177	0.552226755
178	0.552226755
179	0.552226755
180	0.552226755
181	0.552226755
182	0.552226755
183	0.552226755
184	0.552226755
185	0.552226755
186	0.552226755
187	0.552226755
188	0.552226755
189	0.552226755
190	0.552226755
191	0.552226755
192	0.552226755
193	0.552226755
194	0.552226755
195	0.552226755
196	0.552226755
197	0.552226755
198	0.552226755
199	0.552226755
200	0.552226755
201	0.552226755
202	0.552226755
203	0.552226755
204	0.552226755
205	0.552226755
206	0.552226755
207	0.552226755
208	0.552226755
209	0.552226755
210	0.552226755
211	0.552226755
212	0.552226755
213	0.552226755
214	0.552226755
215	0.552226755
216	0.552226755
217	0.552226755
218	0.552226755
219	0.552226755
220	0.552226755
221	0.552226755
222	0.552226755
223	0.552226755
224	0.552226755
225	0.552226755
226	0.552226755
227	0.552226755
228	0.552226755
229	0.552226755
230	0.552226755
231	0.552226755
232	0.552226755
233	0.552226755
234	0.552226755
235	0.552226755
236	0.552226755
237	0.552226755
238	0.552226755
239	0.552226755
240	0.552226755
241	0.552226755
242	0.552226755
243	0.552226755
244	0.552226755
245	0.552226755
246	0.552226755
247	0.552226755
248	0.552226755
249	0.552226755
250	0.552226755
251	0.552226755
252	0.552226755
253	0.552226755
254	0.552226755
255	0.552226755
256	0.552226755
257	0.552226755
258	0.552226755
259	0.552226755
260	0.552226755
261	0.552226755
262	0.552226755
263	0.552226755
264	0.552226755
265	0.552226755
266	0.552226755
267	0.552226755
268	0.552226755
269	0.552226755
270	0.552226755
271	0.552226755
272	0.552226755
273	0.552226755
274	0.552226755
275	0.552226755
276	0.552226755
277	0.552226755
278	0.552226755
279	0.552226755
280	0.552226755
281	0.552226755
282	0.552226755
283	0.552226755
284	0.552226755
285	0.552226755
286	0.552226755
287	0.552226755
288	0.552226755
289	0.552226755
290	0.552226755
291	0.552226755
292	0.552226755
293	0.552226755
294	0.552226755
295	0.552226755
296	0.552226755
297	0.552226755
298	0.552226755
299	0.552226755
300	0.552226755
301	0.552226755
302	0.552226755
303	0.552226755
304	0.552226755
305	0.552226755
306	0.552226755
307	0.552226755
308	0.552226755
309	0.552226755
310	0.552226755
311	0.552226755
312	0.552226755
313	0.552226755
314	0.552226755
315	0.552226755
316	0.552226755
317	0.552226755
318	0.552226755
